hashtags/0,hashtags/1,hashtags/2,hashtags/3,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,mentions/1,urls/1,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,urls/2,mentions/2,mentions/3,mentions/4,mentions/5,mentions/6,mentions/7,mentions/8
,,,,Waska Fan Squad,1184280578,RT @WaskaSquad: We’ve got some Big Ballerz here at Minnewaska🤘🏼 Show up in Marshall on Sat. @8 ready to get wild‼️😈 Wear all Big Baller dap…,Jeremy Christensen,https://pbs.twimg.com/profile_images/916300567432937474/nwojF_Fy_normal.jpg,148,CoachC_LakerFB,"Husband, Father, Teacher, and Coach

Faith - Family - Football

Joshua 1:9

**All views and opinions are my own**",Thu Aug 31 14:28:07 +0000 2017,-1038688256,201,0.25,,J,,,,,,,,,,,,,,,
CavsNation,DefendtheLand,GoCavs,Cavs,,-497577984,#CavsNation #DefendtheLand #GoCavs #Cavs Cleveland Cavaliers Logo Money Clip - $169.95 End Date: Sunday Apr-8-2018… https://t.co/mBRlFBHPmh,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/972151454516613120,,,,,,,,,,,,,,,,
DefendTheLANd,,,,Brian,-2020110336,@BrianSaintt #DefendTheLANd,Chris Durst,https://pbs.twimg.com/profile_images/967870940628639744/ZqO4Imse_normal.jpg,384,Cultural1st,Youtuber/Streamer. Competitive FPS and Battle Royale Player. Console Master Race. GT: The Culture Boy. Duo is @dad01210 #FEARTHECULT #EndTheRivalry2k18,Wed Aug 17 17:07:37 +0000 2011,356974150,1680,0,,,,,,,,,,,,,,,,,
,,,,J,777388032,We’ve got some Big Ballerz here at Minnewaska🤘🏼 Show up in Marshall on Sat. @8 ready to get wild‼️😈 Wear all Big Ba… https://t.co/6Uu9o4XAYk,Waska Fan Squad,https://pbs.twimg.com/profile_images/671795213619216384/xuTgmN3z_normal.jpg,141,WaskaSquad,We get lit,Tue Dec 01 20:30:52 +0000 2015,129000880,65,0.25,https://twitter.com/i/web/status/972137389773684736,,,,,,,,,,,,,,,,
DefendtheLand,,,,eUnited,1393831937,Good luck today boys #DefendtheLand @eUnitedgg,Logan D.⚡️,https://pbs.twimg.com/profile_images/972139036939755521/pUF-DR61_normal.jpg,296,Itzzz_logann,|17| @eUnitedgg fan,Sun May 24 15:00:02 +0000 2015,-1069631348,150,0.25,,,,,,,,,,,,,,,,,
BarginBin,Cavs,DefendTheLand,,,1226297383,"#BarginBin
PF: Jeff Green #Cavs #DefendTheLand
Sal: $3600
Avg FPS: 17.87
Checkout Our TopValue Players -&gt;… https://t.co/GO4UQ9zdxy",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,135015396,1447,0,https://twitter.com/i/web/status/972135040875483175,,,,,,,,,,,,,,,,
DefendtheLand,Cavs,,,LeBron James,118976513,Comin for you😤 #DefendtheLand #Cavs @KingJames Let's Gooooooo!!! https://t.co/WsS8rfYkyD,MoTre JaeCi,https://pbs.twimg.com/profile_images/956572946734178305/QLfxfEpU_normal.jpg,599,MoTreJaeCi,1/3 of St. Louis R&B trio MoTre...The Hottest R&B Group in the STL...from KC to STL...I'm a KC bred representa!!!  Lovin my two cities...#WEGOTNEXT,Wed Nov 11 18:43:39 +0000 2009,89252355,497,0,https://twitter.com/BleacherReport/status/971806855352627200,,,,,,,,,,,,,,,,
AllForOne,DefendTheLand,,,,-1839972352,Bukas Cavs vs Clippers 🏀 #AllForOne #DefendTheLand,Miguel Carlo Damitan,https://pbs.twimg.com/profile_images/962643955845283840/tCic2aJI_normal.jpg,555,MCDamitan,Heart Strong 💪🏻❤️|| Damitan Family|| UECS & MCL Student|| #ALLINMCD|| I Promise|| SFG|| Queen eLIZAbeth’s 🔥||,Fri Oct 23 11:36:35 +0000 2015,-304297624,302,0,,,,,,,,,,,,,,,,,
,,,,,-787206144,Cleveland Cavaliers: Analyzing each of the Cavs potential first-round matchups - King James Gospel… https://t.co/G08mjupWyW,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,-0.25,https://twitter.com/i/web/status/972097719891144704,,,,,,,,,,,,,,,,
DefendTheLand,,,,,-988463104,Clippers host Cavs with playoff position at stake - https://t.co/vA7EQVloFp https://t.co/NyG1gOdor7 #DefendTheLand https://t.co/JCCqvT13Xx,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://FOXSports.com,,http://dlvr.it/QKMJSj,,,,,,,,,,,,,,
,,,,,932524032,"Why haven't the Cavaliers signed Tony Allen? 'Hey, Joe!' - https://t.co/WsA7eHhQcs https://t.co/AjxyrPR557… https://t.co/5qJKVRumyp",Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://cleveland.com,,http://dlvr.it/QKM6Xc,,,,,,,https://twitter.com/i/web/status/972081207461621760,,,,,,,
,,,,,521486336,Cleveland Cavaliers' LeBron James is billboard material: Crowquill - https://t.co/WsA7eHhQcs… https://t.co/Hkd3F2TMV9,Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0,http://cleveland.com,,https://twitter.com/i/web/status/972073175461740544,,,,,,,,,,,,,,
,,,,Lucas 🏀,-971644928,"RT @LucasJcb: Pour LeBron James, son niveau de jeu est le plus élevé qu'il n'a jamais pu avoir. La gestion de son corps et son état d'espri…",Lucas 🏀,https://pbs.twimg.com/profile_images/956224255154360322/d_KkA95B_normal.jpg,712,LucasJcb,"Traducteur en herbe. Cuistot personnel de Brandon Ingram histoire qu'il passe les 85 kilos. Chroniqueur pour @Starting5pod
Anciennement sur @ParlonsNBA",Tue Nov 11 12:55:13 +0000 2014,-1422679122,384,0.625,,,,,,,,,,,,,,,,,
,,,,,-774520831,My league sources have informed me that LeBron James is staying in Cleveland as Paul George wants to play with the… https://t.co/wKQ2VBdpqA,Brandon LeRoy Lott,https://pbs.twimg.com/profile_images/961398287508029440/TxVOUeXa_normal.jpg,752,BrannuSunyata,PhD Candidate. Depth psychological policy research on Integrating the Shadow of The City. Liberation. Decolonization. Choiceless Observation. 330 in the 510,Fri May 11 03:35:07 +0000 2012,576887274,1459,0.25,https://twitter.com/i/web/status/971987785920921601,,,,,,,,,,,,,,,,
,,,,,1742069760,"LeBron James, Cleveland Cavaliers pledge full support for Kevin Love after revealing essay - WKYC-TV… https://t.co/UqFc6E2BW1",Cleveland Cavaliers,https://pbs.twimg.com/profile_images/805754524866637824/ffVjQ2BO_normal.jpg,136,C_CavaliersNews,The latest Cleveland Cavaliers News,Mon Dec 05 12:42:11 +0000 2016,1821835264,26,0.75,https://twitter.com/i/web/status/971982728966037504,,,,,,,,,,,,,,,,
DefendTheLand,NBA,,,,-32165888,Iman Shumpert (foot) out for Friday. #DefendTheLand #NBA,NBA 📰,https://pbs.twimg.com/profile_images/840806600810012672/3UKdImNU_normal.jpg,1086,BasketballRoto,"Free #NBA news, DFS tools & content.  https://t.co/vfdB1wfxDK",Tue Nov 15 20:37:48 +0000 2016,-1101791232,503,0,,,,,,,,,,,,,,,,,
CavsNation,DefendtheLand,GoCavs,Cavs,,-556363775,#CavsNation #DefendtheLand #GoCavs #Cavs LeBron James 23 Cleveland Cavaliers Rookie 2003-2004 Game Model Reebok Jer… https://t.co/jnpjNXCJtt,Cavaliers Fans,https://pbs.twimg.com/profile_images/919827563098267648/9nnIO5lX_normal.jpg,6489,CavaliersViews,Cleveland Cavaliers Fan Page. NOT linked to Official Cleveland Cavaliers #AllforOne #ALLinCLE #CavsNation #ALLin216 #GoCavs #DefendtheLand #Cavaliers #Cavs,Wed Mar 04 01:12:59 +0000 2015,-1234289031,4647,0,https://twitter.com/i/web/status/971924912112832513,,,,,,,,,,,,,,,,
