hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,urls/1,user/location/lat,user/location/long,mentions/1,mentions/2,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,mentions/3,mentions/4,hashtags/6,hashtags/7,mentions/5,urls/2
BuzzCity,Charlotte Hornets PR,-1344811003,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Nolan Richardson,https://pbs.twimg.com/profile_images/892765962780512256/xcCCQGQE_normal.jpg,290,bigrobondahop,,Mon Jun 06 02:06:19 +0000 2011,311787421,206,-0.125,,,35.2155401,-78.49930090000001,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
,Steve Smith Sr,244813824,"RT @89SteveSmith: Well look what just arrived at the @SteveSmithFDN office. My very own bobblehead courtesy of the @hornets. First 7,500 fa…",Zach Mullis,https://pbs.twimg.com/profile_images/945762778488430592/I_LsDZuH_normal.jpg,361,zmullis,,Mon Apr 27 06:32:06 +0000 2009,35688561,228,1.125,,,35.39313300000001,-80.670104,SteveSmithFDN,Charlotte Hornets,,,,,,,,,,,
BuzzCity,Alexis,1603702785,RT @TheRealAlexis: Okay now I'm ready for @willyhg94's return to NY 👀🐝 #BuzzCity https://t.co/FUaoQlHd60,Victor Sharma,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,194,VictorSharma12,,Mon Oct 29 01:09:04 +0000 2012,911469967,385,0,,,40.9175771,-73.70027209999999,Willy Hernangómez,,,,,,,,,,,,
BuzzCity,FOX Sports: Hornets,-1550528511,"RT @HornetsOnFSSE: The @hornets have had a lot of success against tonight's opponent! 😎

#BuzzCity #BKNatCHA https://t.co/j40pmEl6WK",TheExtremeguy,https://pbs.twimg.com/profile_images/890329237416050688/RCbgpMWH_normal.jpg,470,Deadpoolteam12,#EJBrandy #PokemonGo Ghettogaggers WWE #TeamVailor  Love all #marvel movies and huge fan of TauraSlade xx,Wed Sep 21 18:53:06 +0000 2016,609574913,1733,0.125,,,33.463984,-111.8772261,Charlotte Hornets,,BKNatCHA,,,,,,,,,,
BuzzCity,Charlotte Hornets PR,-1810505728,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,TheExtremeguy,https://pbs.twimg.com/profile_images/890329237416050688/RCbgpMWH_normal.jpg,470,Deadpoolteam12,#EJBrandy #PokemonGo Ghettogaggers WWE #TeamVailor  Love all #marvel movies and huge fan of TauraSlade xx,Wed Sep 21 18:53:06 +0000 2016,609574913,1733,-0.125,,,33.463984,-111.8772261,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
BuzzCity,Charlotte Hornets PR,1381412865,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Hornets Fan Page,https://pbs.twimg.com/profile_images/911396892889747456/vrm5FjVR_normal.jpg,32,hugothehornetig,Best Fan Page on twitter for Hornets,Sat Sep 23 00:57:28 +0000 2017,1104596992,126,-0.125,,,,,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
WeGoHard,NBA Latam,-65548288,"RT @NBALatam: ¿Nos volverá a sorprender @_bigjayy_ con una volcada?
#WeGoHard Vs #BuzzCity ¿Con quién vas? https://t.co/rWmTX10BZQ",Uniendo Voces Bello,https://pbs.twimg.com/profile_images/712356509200416768/PCh_i9uE_normal.jpg,842,mariaradioUV,Conductora de radio independiente.Creadora del programa de radio Uniendo Voces marca registrada ARG,Tue Jul 30 23:55:31 +0000 2013,1634131051,3111,0,,,,,Jarrett Allen,,BuzzCity,,,,,,,,,,
BuzzCity,,1540796422,Hornets announce MCW electing to have surgery and will miss the remainder of the season #BuzzCity,Locked On Hornets Podcast,https://pbs.twimg.com/profile_images/785133287832424449/2jMk946x_normal.jpg,3031,LockedOnHornets,Daily Charlotte Hornets pod for @LockedOnNetwork 🎧👉 https://t.co/LfTCyiueY2 💸🙏 https://t.co/BLdArRBYWs 📷 https://t.co/f3f8doCqfK,Tue Apr 15 14:55:30 +0000 2014,-1849407308,353,-0.625,,,35.39313300000001,-80.670104,,,,,,,,,,,,,
BuzzCity,Charlotte Hornets PR,169213952,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Amoga,https://pbs.twimg.com/profile_images/958215422255525888/jFbRsPyZ_normal.jpg,8879,Ali_bball23,my dream is to be an @NBA player that's it Insha Allah 🏀,Thu Jan 12 20:33:05 +0000 2017,106307587,334,-0.125,,,36.7021344,-76.19652930000001,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
BuzzCity,Charlotte Hornets PR,580300800,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,"Arthurlee L. Mitchell, Jr.",https://pbs.twimg.com/profile_images/950175122366767104/k4x_mqbj_normal.jpg,2052,Arthurlee_M,"Geek, Carolina Panthers Fan, Charlotte Hornets Fan, Fan of Univ. of S.C. Gamecocks, father of 1, native of John's Island, SC & SMC '95 & Newberry College '97",Sat Jun 12 00:41:45 +0000 2010,154709971,2697,-0.125,,,,,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
BuzzCity,Charlotte Hornets PR,1901580288,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Humble&Hungry 336✈️,https://pbs.twimg.com/profile_images/971517553175678977/GV1e-V2J_normal.jpg,1877,Cap_TNDO,"""The easiest way to be defeated is to be distracted."" #B4b🗣 #LackofWorries🎈 #BGOD🦅 #Ferrum17🎓 #Built2last #Blackhat4eva #GoHeels #GoGators #COLTSTRONG 🙏🏾",Wed Apr 06 01:19:48 +0000 2011,277785243,1853,-0.125,,,,,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
BuzzCity,Charlotte Hornets PR,1872101378,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Dillon Brewer,https://pbs.twimg.com/profile_images/969414116996763648/ZMMn1WlJ_normal.jpg,676,_BR3W3R_,EST. 1993,Mon Sep 17 21:03:11 +0000 2012,829806578,181,-0.125,,,,,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
