urls/0,hashtags/0,hashtags/1,mentions/0,mentions/1,mentions/2,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,hashtags/2,urls/1,urls/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,mentions/3,mentions/4,mentions/5,hashtags/8,hashtags/9,hashtags/10
https://twitter.com/i/web/status/972295862717165568,TrueToAtlanta,,,,,-1982418944,"Destaques #TrueToAtlanta :
Dorsey: 18 pts e 4 reb
Schroder: 15 pts e 4 ast
Muscala: 12 pts, 5 reb, 2 ast e 2 stl
Mo… https://t.co/lROqb8lk3I",Double-Doule BR,https://pbs.twimg.com/profile_images/966841279920463874/waNiegC5_normal.jpg,21,double_doublebr,Perfil brasleiro para falar sobre NBA!,Wed Feb 21 04:34:09 +0000 2018,,,756539392,79,0,,,,,,,,,,,,,,
,Pacers,TrueToAtlanta,Pacers Brasil,,,-1147695102,"RT @pacers_brasil: FIM DE JOGO!

#Pacers 112 x 87 #TrueToAtlanta

Partida muito boa do time. Bom ver o Collison de volta e jogando bem e Tu…",André Gonçalves,https://pbs.twimg.com/profile_images/850315137189765123/lGf38fF8_normal.jpg,97,1andregoncalves,,Sat Mar 21 15:48:42 +0000 2015,,,-1192878396,157,0,,,,,,,,,,,,,,
https://twitter.com/HawksOnFSSE/status/972294226808590342,Hawks,TrueToAtlanta,,,,-686387200,#Hawks #TrueToAtlanta https://t.co/50PrJ4RY0F,DFS Chosen One,https://pbs.twimg.com/profile_images/915713508590964736/n6oW6d9F_normal.jpg,85,skyywaalkaa,east atlanta 4eva,Tue Jan 07 04:33:05 +0000 2014,35.0006589,-80.751429,-2014948796,66,0,,,,,,,,,,,,,,
https://twitter.com/i/web/status/972294148614164485,Pacers,TrueToAtlanta,,,,1901498373,"FIM DE JOGO!

#Pacers 112 x 87 #TrueToAtlanta

Partida muito boa do time. Bom ver o Collison de volta e jogando bem… https://t.co/qLVfcUIh66",Pacers Brasil,https://pbs.twimg.com/profile_images/967829891575148545/98q0ZwCc_normal.jpg,670,pacers_brasil,Perfil dedicado a notícias e informações sobre o Indiana Pacers! #PacerNation 🇧🇷 (38-28),Sat Jul 01 14:12:36 +0000 2017,39.927392,-85.9373789,-1093160960,366,0,,,,,,,,,,,,,,
,Pacers,TrueToAtlanta,,,,559284225,"Final
#Pacers 112 X 87 #TrueToAtlanta",Double-Doule BR,https://pbs.twimg.com/profile_images/966841279920463874/waNiegC5_normal.jpg,21,double_doublebr,Perfil brasleiro para falar sobre NBA!,Wed Feb 21 04:34:09 +0000 2018,,,756539392,79,0,,,,,,,,,,,,,,
https://twitter.com/hawksonfsse/status/972290243754897408,TrueToAtlanta,,,,,-11038720,! #TrueToAtlanta https://t.co/wMDMldgfhr,DFS Chosen One,https://pbs.twimg.com/profile_images/915713508590964736/n6oW6d9F_normal.jpg,85,skyywaalkaa,east atlanta 4eva,Tue Jan 07 04:33:05 +0000 2014,35.0006589,-80.751429,-2014948796,66,0,,,,,,,,,,,,,,
,TrueToAtlanta,,Atlanta Hawks,,,-1567125504,@ATLHawks Just wasn't meant to be tonight. On to the next one! #TrueToAtlanta,Alan Beasley,https://pbs.twimg.com/profile_images/864173596746371073/5atdJfsc_normal.jpg,103,falconsfan1988,,Thu Feb 11 01:30:27 +0000 2016,32.189996,-81.030166,601635397,189,0,,,,,,,,,,,,,,
,TrueToAtlanta,,,,,794218496,"And that’s the game... we fall to the Pacers 112-87 

#TrueToAtlanta",Atlanta Hawks Talk,https://pbs.twimg.com/profile_images/735617767563530241/hlXjwdqT_normal.jpg,1372,ATLHawks_Talk,Atlanta Hawks Talk is Your Homegrown Source for all things #TrueToAtlanta. Podcast series '#ATLSportsHQLive!' Part of the @ATLSportsHQ Network,Sun Aug 30 02:37:08 +0000 2015,33.8876179,-84.289389,-906995344,596,0,,,,,,,,,,,,,,
https://twitter.com/i/web/status/972293554247753734,Hornets,Hawks,Allie a,,,240574470,Congrats to @paulsatl for winning a pair of tickets to the #Hornets vs #Hawks game on 3/15. But wait...there's more… https://t.co/PNjIc1ieLH,FOX Sports: Hawks,https://pbs.twimg.com/profile_images/841685851906154497/ARHL4S5Z_normal.jpg,3258,HawksOnFSSE,"Atlanta Hawks basketball from the FOX Sports Southeast perspective. Friends with Bob, Nique, Andre, Rebecca, Jerome and Stinger. Big fan of FOX Sports GO.",Mon Sep 12 18:41:39 +0000 2016,33.8876179,-84.289389,1628737536,102,-0.125,,,,,,,,,,,,,,
,NBA,TrueToAtlanta,FOX Sports: Hawks,Atlanta Hawks,,718614528,"RT @HawksOnFSSE: GAME DAY | #NBA

🏀 #TrueToAtlanta vs. #Pacers
⏰ 6:30 p.m. ET | @ATLHawks LIVE
📺 FOX Sports Southeast
📲 FOX Sports GO
🎙️ @B…",Tyrone,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,25,callontyrone2,Just chillin,Tue Jan 09 04:45:59 +0000 2018,,,1595252736,140,0,Pacers,,,,,,,,,,,,,
https://twitter.com/hawksonfsse/status/972290243754897408,TrueToAtlanta,,,,,-1915355136,#TrueToAtlanta https://t.co/lSrxB7hEnf,Pedro,https://pbs.twimg.com/profile_images/851036295044505601/BOXrHUJT_normal.jpg,303,pedro_rengifooo,https://t.co/AN9hBuG8vv,Wed Nov 02 22:10:32 +0000 2011,,,403715625,257,0,,,,,,,,,,,,,,
https://twitter.com/hawksonfsse/status/972290243754897408,TrueToAtlanta,,,,,-816390142,#TrueToAtlanta https://t.co/S7XFrlfTjT,Arbs,https://pbs.twimg.com/profile_images/929768834499776514/I5jBQ1j-_normal.jpg,1109,BrandonArbegast,"The juice comes & goes, but the sauce is forever University of West Georgia ΚΣ",Mon Jun 20 19:21:56 +0000 2011,,,320934665,1095,0,,,,,,,,,,,,,,
https://twitter.com/hawksonfsse/status/972290243754897408,TruetoAtlanta,,,,,391512064,#TruetoAtlanta https://t.co/qpN7IqpRjm,Dirty 30 Ke 🎉🎈🎁,https://pbs.twimg.com/profile_images/960196348334235648/NmudNJHA_normal.jpg,1181,ShesKRenee,"Life to short to be serious all the time. So laugh with me. Born & Raised in Atlanta, GA. Philippians 4:13 #RiseUp #TrueToAtlanta #ChopOn #UniteAndConquer",Fri Sep 07 13:39:24 +0000 2012,33.8876179,-84.289389,808893818,685,0,,,,,,,,,,,,,,
https://twitter.com/hawksonfsse/status/972290243754897408,TrueToAtlanta,,,,,1633112064,#TrueToAtlanta https://t.co/zBE4Qcl5sB,Henny Youngmane,https://pbs.twimg.com/profile_images/970344994950217729/FUczC9Oo_normal.jpg,1418,BigDdaBasedLord,Bitter Atlanta Sports Fan #TrueToAtlanta and #RollTide,Fri Jun 25 20:57:33 +0000 2010,,,159599868,955,0,,,,,,,,,,,,,,
,TrueToAtlanta,Hornets,,,,1167503360,"This time...Be the 5th person to quote tweet us + #TrueToAtlanta to win a pair of tickets to the #Hornets vs #Hawks game on Thu, March 15.",FOX Sports: Hawks,https://pbs.twimg.com/profile_images/841685851906154497/ARHL4S5Z_normal.jpg,3258,HawksOnFSSE,"Atlanta Hawks basketball from the FOX Sports Southeast perspective. Friends with Bob, Nique, Andre, Rebecca, Jerome and Stinger. Big fan of FOX Sports GO.",Mon Sep 12 18:41:39 +0000 2016,33.8876179,-84.289389,1628737536,102,0.125,Hawks,,,,,,,,,,,,,
https://twitter.com/i/web/status/972289212698460160,Hornets,Hawks,Dillon Pate,,,903217152,"Congrats to @dilloncamper17 for winning a pair of tickets to the #Hornets vs #Hawks game on 3/15. Don't worry,… https://t.co/r9hIv7VG0O",FOX Sports: Hawks,https://pbs.twimg.com/profile_images/841685851906154497/ARHL4S5Z_normal.jpg,3258,HawksOnFSSE,"Atlanta Hawks basketball from the FOX Sports Southeast perspective. Friends with Bob, Nique, Andre, Rebecca, Jerome and Stinger. Big fan of FOX Sports GO.",Mon Sep 12 18:41:39 +0000 2016,33.8876179,-84.289389,1628737536,102,-0.125,,,,,,,,,,,,,,
,TrueToAtlanta,InBrotherhood,Atlanta Hawks,Mohamed Sanu Sr.,Justin Hardy,-552206334,"RT @ATLHawks: Rise up! @Mo_12_Sanu and @FreakMagic2 are in the house! 

#TrueToAtlanta x #InBrotherhood https://t.co/0W1fg8Bxfr",Falcons Bella,https://pbs.twimg.com/profile_images/939135427931529216/fLL7RXlA_normal.jpg,295,prettylalabella,"Very beautiful, outgoing, down to earth woman who loves GOD, life, her family, and herself. The #1 Atlanta Falcons fan #RISEUP #INBROTHERHOOD",Wed Jan 02 19:51:10 +0000 2013,35.0006589,-80.751429,1055961889,647,0,,,,,,,,,,,,,,
